horse_id,horse_name,declared_entry_count,nonempty_entry_count,mojibake_cells_repaired,qc_status,source_url
2020103048,ティムール,62,62,6,PASS,https://db.netkeiba.com/horse/ped/2020103048/
2020102655,ナイトキャッスル,62,62,11,PASS,https://db.netkeiba.com/horse/ped/2020102655/
2020101199,ロードプレイヤー,62,62,18,PASS,https://db.netkeiba.com/horse/ped/2020101199/
2020104426,ビキニボーイ,62,62,16,PASS,https://db.netkeiba.com/horse/ped/2020104426/
2016190001,グランドグローリー,62,62,2,PASS,https://db.netkeiba.com/horse/ped/2016190001/
2017100084,ナムラカミカゼ,62,62,15,PASS,https://db.netkeiba.com/horse/ped/2017100084/
2017104060,エドノフェリーチェ,62,62,30,PASS,https://db.netkeiba.com/horse/ped/2017104060/
2017110138,エアファンディタ,62,62,4,PASS,https://db.netkeiba.com/horse/ped/2017110138/
2017103890,ニホンピロスクーロ,62,62,26,PASS,https://db.netkeiba.com/horse/ped/2017103890/
2018104541,プログノーシス,62,62,4,PASS,https://db.netkeiba.com/horse/ped/2018104541/
2018104788,トゥーフェイス,62,62,24,PASS,https://db.netkeiba.com/horse/ped/2018104788/
2020106582,ファントムシーフ,62,62,6,PASS,https://db.netkeiba.com/horse/ped/2020106582/
2020105681,ハーツコンチェルト,62,62,8,PASS,https://db.netkeiba.com/horse/ped/2020105681/
2020101695,シーウィザード,62,62,13,PASS,https://db.netkeiba.com/horse/ped/2020101695/
2020103420,セレンディピティ,62,62,22,PASS,https://db.netkeiba.com/horse/ped/2020103420/
2020103388,フェイト,62,62,7,PASS,https://db.netkeiba.com/horse/ped/2020103388/
2020106439,ボーンイングランデ,62,62,10,PASS,https://db.netkeiba.com/horse/ped/2020106439/
2020103521,セブンマジシャン,62,62,24,PASS,https://db.netkeiba.com/horse/ped/2020103521/
2020106274,ガストリック,62,62,10,PASS,https://db.netkeiba.com/horse/ped/2020106274/
2020103626,ドゥラエレーデ,62,62,29,PASS,https://db.netkeiba.com/horse/ped/2020103626/
2020103876,モンドプリューム,62,62,16,PASS,https://db.netkeiba.com/horse/ped/2020103876/
2020103331,ジェイパームス,62,62,13,PASS,https://db.netkeiba.com/horse/ped/2020103331/
2020103466,キングズレイン,62,62,18,PASS,https://db.netkeiba.com/horse/ped/2020103466/
2020105730,スカパラダイス,62,62,14,PASS,https://db.netkeiba.com/horse/ped/2020105730/
2020103208,ジュンツバメガエシ,62,62,12,PASS,https://db.netkeiba.com/horse/ped/2020103208/
2020104484,ミッキーカプチーノ,62,62,16,PASS,https://db.netkeiba.com/horse/ped/2020104484/
