horse_id,horse_name,ancestor,occurrences,cross_pattern,paths,total_blood_share_pct,wright_F_contribution_pct,is_sire_dam_common
2012103930,マイネルサージュ,Northern Dancer,2,5x5,SSSSS|SDDSS,6.25,0.0,False
2012103930,マイネルサージュ,Sea-Bird,2,5x5,SDSSS|DDDDS,6.25,0.1953125,True
2011102151,サクラアンプルール,Northern Dancer,3,4x5x5,SSDSS|SDSSS|DDSS,12.5,0.78125,True
2014105825,アウトライアーズ,Hail to Reason,2,5x5,SSSSS|DDDSS,6.25,0.1953125,True
2014105825,アウトライアーズ,Halo,2,4x5,SSSS|SDSDS,9.375,0.0,False
2014105258,ペルシアンナイト,Northern Dancer,3,4x5x5,SSSSS|SDDSS|DDSS,12.5,0.78125,True
2014103309,ファンディーナ,Halo,2,3x5,SSS|DDDDS,15.625,0.78125,True
2014103309,ファンディーナ,Northern Dancer,2,5x5,SDSSS|DSSSS,6.25,0.1953125,True
2014105493,サトノアレス,Natalma,2,5x5,DSSSD|DSDDD,6.25,0.0,False
2014105493,サトノアレス,Northern Dancer,2,4x5,SDSSS|DSSS,9.375,0.390625,True
2014106211,キングズラッシュ,Hail to Reason,2,5x5,DSSSS|DDSSS,6.25,0.0,False
2014100656,クリンチャー,Danzig,2,3x4,SDSS|DDS,18.75,1.5625,True
2014100656,クリンチャー,Graustark,2,4x5,SDDSS|DSDS,9.375,0.390625,True
2014100656,クリンチャー,Hail to Reason,2,4x5,SSSSS|DSSS,9.375,0.390625,True
2014100656,クリンチャー,Northern Dancer,2,4x5,SDSSS|DDSS,9.375,0.390625,True
2014100656,クリンチャー,Pas de Nom,2,4x5,SDSSD|DDSD,9.375,0.390625,True
2014100222,ウインブライト,Lady Victoria,2,5x5,SDDSD|DSDSD,6.25,0.1953125,True
2014100222,ウインブライト,Nijinsky,2,5x5,DDSDS|DDDSS,6.25,0.0,False
2014100222,ウインブライト,Northern Dancer,2,5x5,SDDSS|DSDSS,6.25,0.1953125,True
2014100222,ウインブライト,Northern Taste,2,4x4,SDDS|DSDS,12.5,0.78125,True
2014100465,トラスト,Cosmah,2,5x5,SDSSD|DSSSD,6.25,0.1953125,True
2014100465,トラスト,Hail to Reason,3,5x5x5,SSSSS|SDSSS|DSSSS,9.375,0.390625,True
2014100465,トラスト,Halo,2,4x4,SDSS|DSSS,12.5,0.78125,True
2014100465,トラスト,Mountain Flower,2,5x5,SDSDD|DSSDD,6.25,0.1953125,True
2014100465,トラスト,Northern Dancer,3,5x5x5,SSDSS|SDDSS|DSDSS,9.375,0.390625,True
2014100465,トラスト,Sunday Silence,2,3x3,SDS|DSS,25.0,3.125,True
2014100465,トラスト,Understanding,2,5x5,SDSDS|DSSDS,6.25,0.1953125,True
2014100465,トラスト,Wishing Well,2,4x4,SDSD|DSSD,12.5,0.78125,True
2014102565,モズカッチャン,Danzig,2,4x5,SSSS|DDDSS,9.375,0.390625,True
2014102565,モズカッチャン,Mr. Prospector,2,4x5,DSSS|DDSDS,9.375,0.0,False
2014102565,モズカッチャン,Northern Dancer,2,5x5,SSSSS|SDDSS,6.25,0.0,False
2014105925,ザクイーン,Cosmah,2,5x5,SSSSD|DSDSD,6.25,0.1953125,True
2014105925,ザクイーン,Gold Digger,2,5x5,SDSSD|DDSSD,6.25,0.1953125,True
2014105925,ザクイーン,Hail to Reason,2,5x5,SSSSS|DSDSS,6.25,0.1953125,True
2014105925,ザクイーン,Halo,3,4x4x5,SSSS|SDSDS|DSDS,15.625,1.171875,True
2014105925,ザクイーン,Mr. Prospector,2,4x4,SDSS|DDSS,12.5,0.78125,True
2014105925,ザクイーン,Northern Dancer,2,5x5,DSSSS|DDDSS,6.25,0.0,False
2014105925,ザクイーン,Raise a Native,2,5x5,SDSSS|DDSSS,6.25,0.1953125,True
2014101974,キャナルストリート,Grey Sovereign,2,5x5,DSSSS|DDDDS,6.25,0.0,False
2014105575,レッドミラベル,Northern Dancer,2,5x5,SDDSS|DDSSS,6.25,0.1953125,True
2014106155,ホウオウパフューム,Nashua,2,5x5,DSSDS|DDDDS,6.25,0.0,False
2014106155,ホウオウパフューム,Northern Dancer,3,5x5x5,SDDSS|DSDSS|DDSSS,9.375,0.390625,True
2014104351,ヤマカツグレース,Danzig,2,4x4,SSSS|DSDS,12.5,0.78125,True
2014104351,ヤマカツグレース,His Majesty,2,5x5,SSSDS|DSDDS,6.25,0.1953125,True
2014104351,ヤマカツグレース,Northern Dancer,3,5x5x5,SSSSS|SDDSS|DSDSS,9.375,0.390625,True
2014104351,ヤマカツグレース,Pas de Nom,2,5x5,SSSSD|DSDSD,6.25,0.1953125,True
2014103913,ドリームマジック,Nijinsky,2,4x5,DSDSS|DDSS,9.375,0.0,False
2014103913,ドリームマジック,Northern Dancer,2,5x5,SDDSS|DDSSS,6.25,0.1953125,True
2014105794,アドマイヤローザ,Northern Dancer,2,5x5,SSSSS|SDDSS,6.25,0.0,False
2014103584,メイショウササユリ,Northern Dancer,3,5x5x5,SDDSS|DSSSS|DDDSS,9.375,0.390625,True
2014106144,ディーパワンサ,Ballade,2,4x5,DSDD|DDSDD,9.375,0.0,False
2014106144,ディーパワンサ,Cosmah,2,5x5,SSSSD|DSDSD,6.25,0.1953125,True
2014106144,ディーパワンサ,Glorious Song,2,3x4,DSD|DDSD,18.75,0.0,False
2014106144,ディーパワンサ,Hail to Reason,2,5x5,SSSSS|DSDSS,6.25,0.1953125,True
2014106144,ディーパワンサ,Halo,3,4x4x5,SSSS|DSDS|DDSDS,15.625,1.171875,True
2014101289,アロンザモナ,Halo,2,3x5,SSSDS|DSD,15.625,0.78125,True
2014101289,アロンザモナ,Natalma,2,5x5,SDSSD|DDSSD,6.25,0.1953125,True
2014101289,アロンザモナ,Nearctic,2,5x5,SDSSS|DDSSS,6.25,0.1953125,True
2014101289,アロンザモナ,Northern Dancer,2,4x4,SDSS|DDSS,12.5,0.78125,True
2014106151,フローレスマジック,Northern Dancer,3,4x5x5,SDSSS|DSSS|DDDSS,12.5,0.5859375,True
2014103392,レッドコルディス,Hail to Reason,2,4x5,SSSS|DDDSS,9.375,0.390625,True
2014103392,レッドコルディス,Northern Dancer,2,4x5,SDDSS|DDSS,9.375,0.390625,True
2014103392,レッドコルディス,Raise a Native,2,4x5,DSSS|DDDDS,9.375,0.0,False
2014103294,ラユロット,Buckpasser,2,5x5,SDSDS|DSSDS,6.25,0.1953125,True
2014103294,ラユロット,Gold Digger,2,5x5,SSSSD|DSSSD,6.25,0.1953125,True
2014103294,ラユロット,In Reality,2,4x5,SSDDS|SDDS,9.375,0.0,False
2014103294,ラユロット,Mr. Prospector,2,4x4,SSSS|DSSS,12.5,0.78125,True
2014103294,ラユロット,Raise a Native,2,5x5,SSSSS|DSSSS,6.25,0.1953125,True
2014106047,ピスカデーラ,Northern Dancer,3,4x5x5,SDSSS|DSDSS|DDSS,12.5,0.5859375,True
2014103361,スズカロング,Alleged,2,4x5,SDDS|DDDDS,9.375,0.390625,True
2014103361,スズカロング,Fairy Bridge,2,4x5,SDSD|DDDSD,9.375,0.390625,True
2014103361,スズカロング,Northern Dancer,2,4x5,SDSS|DDDSS,9.375,0.390625,True
2014101769,サーレンブラント,Dr. Fager,2,4x5,DSSDS|DSDS,9.375,0.0,False
2014101769,サーレンブラント,Northern Dancer,2,5x5,SDSSS|DDSSS,6.25,0.1953125,True
2014105382,アグネスウイン,Northern Dancer,2,4x5,SSSS|DSDSS,9.375,0.390625,True
2014105836,ダノンキングダム,Northern Dancer,2,4x5,SDDSS|DSSS,9.375,0.390625,True
2014100522,タガノアシュラ,Northern Dancer,2,5x5,DSDSS|DDDSS,6.25,0.0,False
2014105979,アドミラブル,Hail to Reason,2,4x5,SSSS|DSSSS,9.375,0.390625,True
2014105979,アドミラブル,Northern Dancer,2,5x5,SDSSS|DDDSS,6.25,0.1953125,True
2014106132,トリコロールブルー,Northern Dancer,3,5x5x5,SDDSS|DSSSS|DDDSS,9.375,0.390625,True
2014106038,サトノクロニクル,Hail to Reason,2,4x5,SSSS|DSSSS,9.375,0.390625,True
2014106038,サトノクロニクル,Northern Dancer,2,5x5,SDDSS|DDSSS,6.25,0.1953125,True
2014106197,インヴィクタ,Halo,2,4x5,DSSS|DDDDS,9.375,0.0,False
2014106197,インヴィクタ,Northern Dancer,3,4x5x5,SSSSS|SDDSS|DDSS,12.5,0.78125,True
2014105923,サトノリュウガ,Lyphard,2,5x5,SDSDS|DSDSS,6.25,0.1953125,True
2014105923,サトノリュウガ,Northern Dancer,2,5x5,SSSSS|SDDSS,6.25,0.0,False
2014110099,ゴールドハット,Cosmah,2,4x5,SSSD|DSDSD,9.375,0.390625,True
2014110099,ゴールドハット,Hail to Reason,2,4x5,SSSS|DSDSS,9.375,0.390625,True
2014110099,ゴールドハット,Halo,2,3x4,SSS|DSDS,18.75,1.5625,True
2014104032,ハギノアレス,Halo,2,3x5,SSS|DSDSS,15.625,0.78125,True
2014104032,ハギノアレス,Mr. Prospector,2,5x5,DSSSS|DDSSS,6.25,0.0,False
2014104032,ハギノアレス,Sunday Silence,2,2x4,SS|DSDS,31.25,3.125,True
2014104032,ハギノアレス,Wishing Well,2,3x5,SSD|DSDSD,15.625,0.78125,True
2014106160,ミッキースワロー,Lyphard,2,3x5,SSDSS|DDS,15.625,0.78125,True
2014106160,ミッキースワロー,Natalma,2,5x5,SDSSD|DDSSD,6.25,0.1953125,True
2014106160,ミッキースワロー,Nearctic,2,5x5,SDSSS|DDSSS,6.25,0.1953125,True
2014106160,ミッキースワロー,Northern Dancer,3,4x4x5,SDSS|DSDSS|DDSS,15.625,1.171875,True
2014103833,メルヴィンカズマ,Gold Digger,2,5x5,SDSSD|DDSSD,6.25,0.1953125,True
2014103833,メルヴィンカズマ,Halo,2,4x5,SSSS|SDSDS,9.375,0.0,False
2014103833,メルヴィンカズマ,Mr. Prospector,2,4x4,SDSS|DDSS,12.5,0.78125,True
2014103833,メルヴィンカズマ,Raise a Native,2,5x5,SDSSS|DDSSS,6.25,0.1953125,True
2014100671,ユキノタイガ,Northern Dancer,2,5x5,SDDDS|DSSSS,6.25,0.1953125,True
2014100671,ユキノタイガ,Secretariat,2,4x5,DSSDS|DDDS,9.375,0.0,False
2014104273,プラチナムバレット,Lyphard,2,4x5,DSSS|DDSDS,9.375,0.0,False
2014101649,ウインベラシアス,Bold Ruler,2,5x5,DSSSS|DDDSS,6.25,0.0,False
2014101649,ウインベラシアス,Hail to Reason,2,5x5,SSSSS|SDSSS,6.25,0.0,False
2014101649,ウインベラシアス,Northern Dancer,3,5x5x5,SSDSS|SDDSS|DDSSS,9.375,0.390625,True
2012104659,サンデーウィザード,Hail to Reason,2,4x5,SSSS|DSDSS,9.375,0.390625,True
2012101974,モズライジン,Hail to Reason,2,5x5,DSDSS|DDSSS,6.25,0.0,False
2012101974,モズライジン,Northern Dancer,2,5x5,SSSSS|DDDSS,6.25,0.1953125,True
2012101974,モズライジン,Roberto,2,4x5,SDDDS|DSDS,9.375,0.390625,True
2010104875,シャドウウィザード,Princequillo,2,5x5,DSDSS|DDSDS,6.25,0.0,False
2014105535,ソウルスターリング,Northern Dancer,3,4x5x5,SSSS|SDSSS|DDDSS,12.5,0.5859375,True
2014101898,ミスパンテール,Hail to Reason,2,4x5,SSSS|DSSSS,9.375,0.390625,True
2014101898,ミスパンテール,Northern Dancer,2,4x5,SDSS|DDSSS,9.375,0.390625,True
2014106185,モーヴサファイア,Danzig,2,4x5,SSSS|DSDSS,9.375,0.390625,True
2014106185,モーヴサファイア,Northern Dancer,2,5x5,SSSSS|SDDSS,6.25,0.0,False
2014104031,ハローユニコーン,Northern Dancer,2,4x5,SDDSS|DSSS,9.375,0.390625,True
2014106191,ディアドラ,Halo,2,4x5,DSSS|DDSDS,9.375,0.0,False
2014106191,ディアドラ,Northern Dancer,3,5x5x5,SSSSS|SDDSS|DDDSS,9.375,0.390625,True
2014105627,ブラックスビーチ,Mr. Prospector,2,3x5,DSS|DDSDS,15.625,0.0,False
2014105627,ブラックスビーチ,Northern Dancer,2,5x5,SDSSS|DSDSS,6.25,0.1953125,True
2014102424,ブラックオニキス,Northern Dancer,3,5x5x5,SDSSS|DSSSS|DDSSS,9.375,0.390625,True
2014105043,レーヌミノル,Cosmah,2,4x5,SSSD|DSSSD,9.375,0.390625,True
2014105043,レーヌミノル,Hail to Reason,2,4x5,SSSS|DSSSS,9.375,0.390625,True
2014105043,レーヌミノル,Halo,2,3x4,SSS|DSSS,18.75,1.5625,True
2014105043,レーヌミノル,Nijinsky,2,4x5,DSDSS|DDSD,9.375,0.0,False
2014106220,リスグラシュー,Goofed,2,5x5,SDDSD|DDDSD,6.25,0.1953125,True
2014106220,リスグラシュー,Lyphard,3,4x4x5,SDDS|DSSDS|DDDS,15.625,1.171875,True
2014106220,リスグラシュー,Northern Dancer,3,5x5x5,SDDSS|DSDSS|DDDSS,9.375,0.390625,True
2014106242,アドマイヤミヤビ,Lyphard,2,4x5,SDDS|DDDSS,9.375,0.390625,True
2014106242,アドマイヤミヤビ,Northern Dancer,2,5x5,SDDSS|DDSSS,6.25,0.1953125,True
2014102161,カリビアンゴールド,Northern Dancer,2,5x5,SDDSS|DSSSS,6.25,0.1953125,True
2014100591,マナローラ,Gold Digger,2,4x5,DSSD|DDDSD,9.375,0.0,False
2014100591,マナローラ,Mr. Prospector,2,3x4,DSS|DDDS,18.75,0.0,False
2014100591,マナローラ,Northern Dancer,3,5x5x5,SDDSS|DSDSS|DDSSS,9.375,0.390625,True
2014100591,マナローラ,Raise a Native,2,4x5,DSSS|DDDSS,9.375,0.0,False
