horse_id,horse_name,source_url,qc_status,sire,dam,broodmare_sire,sire_sire,sire_dam_sire,dam_dam,female_tail_5gen,sire_line,sire_broad_line,broodmare_sire_line,broodmare_sire_broad_line,sire_x_bms_line,sire_broad_x_bms_broad,sire_line_x_female_tail,repeated_ancestor_count,cross_summary,wright_F_approx_pct,blood_sunday_silence_pct,blood_northern_dancer_pct,blood_mr_prospector_pct,blood_kingmambo_pct,blood_roberto_pct,blood_sadler_s_wells_pct,blood_danzig_pct,blood_halo_pct,blood_hail_to_reason_pct,blood_seattle_slew_pct,blood_a_p_indy_pct,blood_nijinsky_pct,blood_nureyev_pct,blood_storm_cat_pct,blood_deputy_minister_pct,blood_tony_bin_pct,blood_lyphard_pct,blood_raise_a_native_pct,blood_native_dancer_pct
2017102537,フォワードアゲン,https://db.netkeiba.com/horse/ped/2017102537/,PASS,ローズキングダム,エーシンシャイナー,グラスワンダー,King Kamehameha,Sunday Silence,エイシンサンサン,Mulhollande,King Kamehameha,Native Dancer,Roberto,Hail to Reason,King Kamehameha__X__Roberto,Native Dancer__X__Hail to Reason,King Kamehameha__X__Mulhollande,2,Hail to Reason:5x5;Northern Dancer:5x5,0.1953125,12.5,6.25,6.25,12.5,6.25,0.0,6.25,6.25,6.25,0.0,0.0,0.0,3.125,0.0,0.0,0.0,3.125,3.125,0.0
2018100428,カナリキケン,https://db.netkeiba.com/horse/ped/2018100428/,PASS,ジャスタウェイ,ブリリアントレイ,King Kamehameha,Heart's Cry,Wild Again,ブラダマンテ Bradamante,Dodge Me,Heart's Cry,Hail to Reason,King Kamehameha,Native Dancer,Heart's Cry__X__King Kamehameha,Hail to Reason__X__Native Dancer,Heart's Cry__X__Dodge Me,2,Hail to Reason:4x5;Nearctic:5x5,0.5859375,12.5,6.25,6.25,12.5,12.5,0.0,0.0,6.25,9.375,0.0,0.0,0.0,3.125,0.0,0.0,6.25,3.125,3.125,0.0
2019105366,フェーングロッテン,https://db.netkeiba.com/horse/ped/2019105366/,PASS,ブラックタイド,ピクシーホロウ,Halo,Sunday Silence,Alzao,ラインレジーナ,Painted Flag,Sunday Silence,Hail to Reason,Halo,Hail to Reason,Sunday Silence__X__Halo,Hail to Reason__X__Hail to Reason,Sunday Silence__X__Painted Flag,7,Cosmah:4x5;Goofed:5x5;Hail to Reason:4x5;Halo:2x3x3x4;Lyphard:4x4;Northern Dancer:5x5;Sir Ivor:5x5,13.0859375,25.0,6.25,0.0,0.0,0.0,0.0,0.0,56.25,9.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0
2019105558,ロジレット,https://db.netkeiba.com/horse/ped/2019105558/,PASS,ロジユニヴァース,ロジフェローズ,タニノギムレット,ネオユニヴァース,Cape Cross,スイートフェローズ,Portage,Sunday Silence,Hail to Reason,Roberto,Hail to Reason,Sunday Silence__X__Roberto,Hail to Reason__X__Hail to Reason,Sunday Silence__X__Portage,2,Hail to Reason:5x5;Mr. Prospector:5x5,0.390625,12.5,0.0,6.25,0.0,6.25,0.0,3.125,6.25,6.25,0.0,0.0,0.0,3.125,0.0,0.0,0.0,0.0,0.0,0.0
2019104929,エコルフリューゲル,https://db.netkeiba.com/horse/ped/2019104929/,PASS,ダイワメジャー,ムニラー Munirah,Kitten's Joy,Sunday Silence,Northern Taste,Speed to Burn,Legato,Sunday Silence,Hail to Reason,Sadler's Wells,Northern Dancer,Sunday Silence__X__Sadler's Wells,Hail to Reason__X__Northern Dancer,Sunday Silence__X__Legato,3,Hail to Reason:4x5;Northern Dancer:4x5;Roberto:4x5,0.78125,25.0,9.375,0.0,0.0,9.375,6.25,0.0,12.5,9.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019104159,カヨウネンカ,https://db.netkeiba.com/horse/ped/2019104159/,PASS,ゴールドシップ,リーベストラウム,ゼンノエルシド,Stay Gold,メジロマックイーン,マウントモガミ,スズダマシイ,Stay Gold,Hail to Reason,Nijinsky,Northern Dancer,Stay Gold__X__Nijinsky,Hail to Reason__X__Northern Dancer,Stay Gold__X__スズダマシイ,2,Nijinsky:4x5;Northern Dancer:5x5,0.0,12.5,6.25,0.0,0.0,0.0,0.0,0.0,6.25,3.125,0.0,0.0,9.375,0.0,0.0,0.0,0.0,6.25,0.0,0.0
2019104607,コルベイユ,https://db.netkeiba.com/horse/ped/2019104607/,PASS,リーチザクラウン,ラタンバスケット,タイキシャトル,スペシャルウィーク,Seattle Slew,サンデーピクニック,Sahara Goddess,Sunday Silence,Hail to Reason,Halo,Hail to Reason,Sunday Silence__X__Halo,Hail to Reason__X__Hail to Reason,Sunday Silence__X__Sahara Goddess,10,Caerleon:4x4;Cosmah:5x5x5;Foreseer:5x5;Hail to Reason:5x5x5;Halo:4x4x4;Mountain Flower:5x5;Nijinsky:5x5x5;Sunday Silence:3x3;Understanding:5x5;Wishing Well:4x4,7.03125,25.0,0.0,6.25,0.0,0.0,0.0,0.0,18.75,9.375,12.5,0.0,9.375,0.0,0.0,0.0,0.0,0.0,3.125,0.0
2019105329,サンカルパ,https://db.netkeiba.com/horse/ped/2019105329/,PASS,ドゥラメンテ,ハイドバウンド Hidebound,Grand Slam,King Kamehameha,Sunday Silence,Hidden Dreams,Intriguing,King Kamehameha,Native Dancer,Mr. Prospector,Native Dancer,King Kamehameha__X__Mr. Prospector,Native Dancer__X__Native Dancer,King Kamehameha__X__Intriguing,5,Gold Digger:5x5;Mr. Prospector:4x4;Northern Dancer:5x5;Nureyev:4x5;Raise a Native:5x5,1.5625,12.5,6.25,12.5,12.5,0.0,0.0,0.0,6.25,3.125,0.0,0.0,0.0,9.375,0.0,0.0,6.25,0.0,6.25,0.0
2019105040,セントカメリア,https://db.netkeiba.com/horse/ped/2019105040/,PASS,ドゥラメンテ,アドマイヤテレサ,エリシオ Helissio,King Kamehameha,Sunday Silence,ヒード Heed,Spy Demon,King Kamehameha,Native Dancer,Northern Dancer,Northern Dancer,King Kamehameha__X__Northern Dancer,Native Dancer__X__Northern Dancer,King Kamehameha__X__Spy Demon,1,Northern Dancer:4x5,0.0,12.5,9.375,6.25,12.5,0.0,0.0,0.0,6.25,3.125,3.125,0.0,6.25,3.125,0.0,0.0,6.25,0.0,3.125,0.0
2019104868,ブルトンクール,https://db.netkeiba.com/horse/ped/2019104868/,PASS,エピファネイア,ファビュラスセンス,グラスワンダー,シンボリクリスエス,スペシャルウィーク,ファビラスターン,シヤダイプリマ,Roberto,Hail to Reason,Roberto,Hail to Reason,Roberto__X__Roberto,Hail to Reason__X__Hail to Reason,Roberto__X__シヤダイプリマ,7,Bramalea:5x5;Hail to Reason:5x5x5;Halo:4x5;Northern Dancer:5x5;Roberto:4x4;Sunday Silence:3x4;Wishing Well:4x5,3.90625,18.75,6.25,0.0,0.0,12.5,6.25,6.25,9.375,9.375,3.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
